firstname,surname,born_country_code,died_country_code,gender,year,category,share,name_of_university,city_of_university,country_of_university,born_year
J. Hans D.,Jensen,DE,DE,Male,1963.0,physics,4.0,University of Heidelberg,Heidelberg,Germany,1907.0
Charles H.,Townes,US,US,Male,1964.0,physics,2.0,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1915.0
Nicolay G.,Basov,RU,RU,male,1964.0,physics,4.0,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1922.0
Aleksandr M.,Prokhorov,AU,RU,MALE,1964.0,physics,4.0,P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1916.0
Sin-Itiro,Tomonaga,JP,JP,male,1965.0,physics,3.0,Tokyo University of Education,Tokyo,Japan,1906.0
Julian,Schwinger,US,US,male,1965.0,physics,3.0,Harvard University,Cambridge MA,USA,1918.0
Richard P.,Feynman,US,US,MALE,1965.0,physics,3.0,California Institute of Technology (Caltech),Pasadena CA,USA,1918.0
Alfred,Kastler,FR,FR,Male,1966.0,physics,1.0,École Normale Supérieure,Paris,France,1902.0
Hans,Bethe,FR,US,Male,1967.0,physics,1.0,Cornell University,Ithaca NY,USA,1906.0
Luis,Alvarez,US,US,male,1968.0,physics,1.0,University of California,Berkeley CA,USA,1911.0
Murray,Gell-Mann,US,US,Male,1969.0,physics,1.0,California Institute of Technology (Caltech),Pasadena CA,USA,1929.0
Hannes,Alfvén,SE,SE,Male,1970.0,physics,2.0,Royal Institute of Technology,Stockholm,Sweden,1908.0
Louis,Néel,FR,FR,MALE,1970.0,physics,2.0,University of Grenoble,Grenoble,France,1904.0
Dennis,Gabor,HU,GB,Male,1971.0,physics,1.0,Imperial College,London,United Kingdom,1900.0
Leon N.,Cooper,US,,Male,1972.0,physics,3.0,Brown University,Providence RI,USA,1930.0
Robert,Schrieffer,US,US,Male,1972.0,physics,3.0,University of Pennsylvania,Philadelphia PA,USA,1931.0
Leo,Esaki,JP,,MALE,1973.0,physics,4.0,IBM Thomas J. Watson Research Center,Yorktown Heights NY,USA,1925.0
Ivar,Giaever,NO,,Male,1973.0,physics,4.0,General Electric Company,Schenectady NY,USA,1929.0
Brian D.,Josephson,GB,,Male,1973.0,physics,2.0,University of Cambridge,Cambridge,United Kingdom,1940.0
Martin,Ryle,GB,GB,Male,1974.0,physics,2.0,University of Cambridge,Cambridge,United Kingdom,1918.0
Antony,Hewish,GB,,MALE,1974.0,physics,2.0,University of Cambridge,Cambridge,United Kingdom,1924.0
Aage N.,Bohr,DK,DK,Male,1975.0,physics,3.0,Niels Bohr Institute,Copenhagen,Denmark,1922.0
Ben R.,Mottelson,US,,MALE,1975.0,physics,3.0,Nordita,Copenhagen,Denmark,1926.0
James,Rainwater,US,US,Male,1975.0,physics,3.0,Columbia University,New York NY,USA,1917.0
Burton,Richter,US,US,male,1976.0,physics,2.0,Stanford Linear Accelerator Center,Stanford CA,USA,1931.0
Samuel C.C.,Ting,US,,MALE,1976.0,physics,2.0,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1936.0
Philip W.,Anderson,US,US,MALE,1977.0,physics,3.0,Bell Telephone Laboratories,Murray Hill NJ,USA,1923.0
Sir Nevill F.,Mott,GB,GB,MALE,1977.0,physics,3.0,University of Cambridge,Cambridge,United Kingdom,1905.0
John H.,van Vleck,US,US,Male,1977.0,physics,3.0,Harvard University,Cambridge MA,USA,1899.0
Pyotr,Kapitsa,RU,RU,male,1978.0,physics,2.0,Academy of Sciences,Moscow,USSR (now Russia),1894.0
Arno,Penzias,DE,,male,1978.0,physics,4.0,Bell Laboratories,Holmdel NJ,USA,1933.0
Robert Woodrow,Wilson,US,,Male,1978.0,physics,4.0,Bell Laboratories,Holmdel NJ,USA,1936.0
Sheldon,Glashow,US,,Male,1979.0,physics,3.0,Harvard University Lyman Laboratory,Cambridge MA,USA,1932.0
Abdus,Salam,PK,GB,MALE,1979.0,physics,3.0,International Centre for Theoretical Physics,Trieste,Italy,1926.0
Steven,Weinberg,US,,MALE,1979.0,physics,3.0,Harvard University,Cambridge MA,USA,1933.0
James,Cronin,US,US,Male,1980.0,physics,2.0,University of Chicago,Chicago IL,USA,1931.0
Val,Fitch,US,US,Male,1980.0,physics,2.0,Princeton University,Princeton NJ,USA,1923.0
Nicolaas,Bloembergen,NL,US,MALE,1981.0,physics,4.0,Harvard University,Cambridge MA,USA,1920.0
Arthur L.,Schawlow,US,US,male,1981.0,physics,4.0,Stanford University,Stanford CA,USA,1921.0
Kai M.,Siegbahn,SE,SE,MALE,1981.0,physics,2.0,Uppsala University,Uppsala,Sweden,1918.0
Kenneth G.,Wilson,US,US,Male,1982.0,physics,1.0,Cornell University,Ithaca NY,USA,1936.0
Subramanyan,Chandrasekhar,PK,US,male,1983.0,physics,2.0,University of Chicago,Chicago IL,USA,1910.0
William A.,Fowler,US,US,MALE,1983.0,physics,2.0,California Institute of Technology (Caltech),Pasadena CA,USA,1911.0
Carlo,Rubbia,IT,,Male,1984.0,physics,2.0,CERN,Geneva,Switzerland,1934.0
Simon,van der Meer,NL,CH,MALE,1984.0,physics,2.0,CERN,Geneva,Switzerland,1925.0
