id,country,year,sex
246,Albania,2005.0,female
247,Albania,2005.0,male
248,Albania,2005.0,male
249,Albania,2005.0,male
250,Albania,2005.0,male
251,Albania,2005.0,male
252,Albania,2005.0,male
253,Albania,2006.0,female
254,Albania,2006.0,female
255,Albania,2006.0,female
256,Albania,2006.0,female
257,Albania,2006.0,female
258,Albania,2006.0,female
259,Albania,2006.0,male
260,Albania,2006.0,male
261,Albania,2006.0,male
262,Albania,2006.0,male
263,Albania,2006.0,male
264,Albania,2006.0,male
265,Albania,2007.0,female
266,Albania,2007.0,female
267,Albania,2007.0,female
268,Albania,2007.0,female
269,Albania,2007.0,female
270,Albania,2007.0,female
271,Albania,2007.0,male
272,Albania,2007.0,male
273,Albania,2007.0,male
274,Albania,2007.0,male
275,Albania,2007.0,male
276,Albania,2007.0,male
277,Albania,2008.0,female
278,Albania,2008.0,female
279,Albania,2008.0,female
280,Albania,2008.0,female
281,Albania,2008.0,female
282,Albania,2008.0,female
283,Albania,2008.0,male
284,Albania,2008.0,male
285,Albania,2008.0,male
286,Albania,2008.0,male
287,Albania,2008.0,male
288,Albania,2008.0,male
289,Albania,2009.0,female
290,Albania,2009.0,female
291,Albania,2009.0,female
292,Albania,2009.0,female
293,Albania,2009.0,female
294,Albania,2009.0,female
295,Albania,2009.0,male
296,Albania,2009.0,male
297,Albania,2009.0,male
298,Albania,2009.0,male
299,Albania,2009.0,male
300,Albania,2009.0,male
301,Albania,2010.0,female
302,Albania,2010.0,female
303,Albania,2010.0,female
304,Albania,2010.0,female
305,Albania,2010.0,female
306,Albania,2010.0,female
307,Albania,2010.0,male
308,Albania,2010.0,male
309,Albania,2010.0,male
310,Albania,2010.0,male
311,Albania,2010.0,male
312,Albania,2010.0,male
313,Albania,2011.0,female
314,Albania,2011.0,female
315,Albania,2011.0,female
316,Albania,2011.0,female
317,Albania,2011.0,female
318,Albania,2011.0,female
319,Albania,2011.0,male
320,Albania,2011.0,male
321,Albania,2011.0,male
322,Albania,2011.0,male
323,Albania,2011.0,male
324,Albania,2011.0,male
325,Albania,2012.0,female
326,Albania,2012.0,female
327,Albania,2012.0,female
328,Albania,2012.0,female
329,Albania,2012.0,female
330,Albania,2012.0,female
331,Albania,2012.0,male
332,Albania,2012.0,male
333,Albania,2012.0,male
334,Albania,2012.0,male
335,Albania,2012.0,male
336,Albania,2012.0,male
337,Albania,2013.0,female
338,Albania,2013.0,female
339,Albania,2013.0,female
340,Albania,2013.0,female
341,Albania,2013.0,female
342,Albania,2013.0,female
343,Albania,2013.0,male
344,Albania,2013.0,male
345,Albania,2013.0,male
346,Albania,2013.0,male
347,Albania,2013.0,male
348,Albania,2013.0,male
349,Albania,2014.0,female
350,Albania,2014.0,female
351,Albania,2014.0,female
352,Albania,2014.0,female
353,Albania,2014.0,female
354,Albania,2014.0,female
355,Albania,2014.0,male
356,Albania,2014.0,male
357,Albania,2014.0,male
358,Albania,2014.0,male
359,Albania,2014.0,male
360,Albania,2014.0,male
361,Albania,2015.0,female
362,Albania,2015.0,female
363,Albania,2015.0,female
364,Albania,2015.0,female
365,Albania,2015.0,female
366,Albania,2015.0,female
367,Albania,2015.0,male
368,Albania,2015.0,male
369,Albania,2015.0,male
370,Albania,2015.0,male
371,Albania,2015.0,male
372,Albania,2015.0,male
373,Anguilla,1983.0,female
374,Anguilla,1983.0,female
375,Anguilla,1983.0,female
376,Anguilla,1983.0,female
377,Anguilla,1983.0,female
378,Anguilla,1983.0,female
379,Anguilla,1983.0,male
380,Anguilla,1983.0,male
381,Anguilla,1983.0,male
382,Anguilla,1983.0,male
383,Anguilla,1983.0,male
384,Anguilla,1983.0,male
385,Anguilla,1984.0,female
386,Anguilla,1984.0,female
387,Anguilla,1984.0,female
388,Anguilla,1984.0,female
389,Anguilla,1984.0,female
390,Anguilla,1984.0,female
391,Anguilla,1984.0,male
392,Anguilla,1984.0,male
393,Anguilla,1984.0,male
394,Anguilla,1984.0,male
395,Anguilla,1984.0,male
396,Anguilla,1984.0,male
397,Anguilla,1985.0,female
398,Anguilla,1985.0,female
399,Anguilla,1985.0,female
400,Anguilla,1985.0,female
401,Anguilla,1985.0,female
402,Anguilla,1985.0,female
403,Anguilla,1985.0,male
404,Anguilla,1985.0,male
405,Anguilla,1985.0,male
406,Anguilla,1985.0,male
407,Anguilla,1985.0,male
408,Anguilla,1985.0,male
409,Anguilla,1986.0,female
410,Anguilla,1986.0,female
411,Anguilla,1986.0,female
412,Anguilla,1986.0,female
413,Anguilla,1986.0,female
414,Anguilla,1986.0,female
415,Anguilla,1986.0,male
416,Anguilla,1986.0,male
417,Anguilla,1986.0,male
418,Anguilla,1986.0,male
419,Anguilla,1986.0,male
420,Anguilla,1986.0,male
421,Anguilla,1987.0,female
422,Anguilla,1987.0,female
423,Anguilla,1987.0,female
424,Anguilla,1987.0,female
425,Anguilla,1987.0,female
426,Anguilla,1987.0,female
427,Anguilla,1987.0,male
428,Anguilla,1987.0,male
429,Anguilla,1987.0,male
430,Anguilla,1987.0,male
431,Anguilla,1987.0,male
432,Anguilla,1987.0,male
433,Anguilla,1988.0,female
434,Anguilla,1988.0,female
435,Anguilla,1988.0,female
436,Anguilla,1988.0,female
437,Anguilla,1988.0,female
438,Anguilla,1988.0,female
439,Anguilla,1988.0,male
440,Anguilla,1988.0,male
441,Anguilla,1988.0,male
442,Anguilla,1988.0,male
443,Anguilla,1988.0,male
444,Anguilla,1988.0,male
445,Anguilla,1989.0,female
446,Anguilla,1989.0,female
447,Anguilla,1989.0,female
448,Anguilla,1989.0,female
449,Anguilla,1989.0,female
450,Anguilla,1989.0,female
451,Anguilla,1989.0,male
452,Anguilla,1989.0,male
453,Anguilla,1989.0,male
454,Anguilla,1989.0,male
455,Anguilla,1989.0,male
456,Anguilla,1989.0,male
457,Anguilla,1990.0,female
458,Anguilla,1990.0,female
459,Anguilla,1990.0,female
460,Anguilla,1990.0,female
461,Anguilla,1990.0,female
462,Anguilla,1990.0,female
463,Anguilla,1990.0,male
464,Anguilla,1990.0,male
465,Anguilla,1990.0,male
466,Anguilla,1990.0,male
467,Anguilla,1990.0,male
468,Anguilla,1990.0,male
469,Anguilla,1991.0,female
470,Anguilla,1991.0,female
471,Anguilla,1991.0,female
472,Anguilla,1991.0,female
473,Anguilla,1991.0,female
474,Anguilla,1991.0,female
475,Anguilla,1991.0,male
476,Anguilla,1991.0,male
477,Anguilla,1991.0,male
478,Anguilla,1991.0,male
479,Anguilla,1991.0,male
480,Anguilla,1991.0,male
481,Anguilla,1992.0,female
482,Anguilla,1992.0,female
483,Anguilla,1992.0,female
484,Anguilla,1992.0,female
485,Anguilla,1992.0,female
486,Anguilla,1992.0,female
487,Anguilla,1992.0,male
488,Anguilla,1992.0,male
489,Anguilla,1992.0,male
490,Anguilla,1992.0,male
491,Anguilla,1992.0,male
492,Anguilla,1992.0,male
493,Anguilla,1993.0,female
494,Anguilla,1993.0,female
495,Anguilla,1993.0,female
496,Anguilla,1993.0,female
497,Anguilla,1993.0,female
498,Anguilla,1993.0,female
499,Anguilla,1993.0,male
500,Anguilla,1993.0,male
501,Anguilla,1993.0,male
502,Anguilla,1993.0,male
503,Anguilla,1993.0,male
504,Anguilla,1993.0,male
505,Anguilla,1994.0,female
506,Anguilla,1994.0,female
507,Anguilla,1994.0,female
508,Anguilla,1994.0,female
509,Anguilla,1994.0,female
510,Anguilla,1994.0,female
511,Anguilla,1994.0,male
512,Anguilla,1994.0,male
513,Anguilla,1994.0,male
514,Anguilla,1994.0,male
515,Anguilla,1994.0,male
516,Anguilla,1994.0,male
517,Anguilla,1995.0,female
518,Anguilla,1995.0,female
519,Anguilla,1995.0,female
520,Anguilla,1995.0,female
521,Anguilla,1995.0,female
522,Anguilla,1995.0,female
523,Anguilla,1995.0,male
524,Anguilla,1995.0,male
525,Anguilla,1995.0,male
526,Anguilla,1995.0,male
527,Anguilla,1995.0,male
528,Anguilla,1995.0,male
529,Anguilla,2000.0,female
530,Anguilla,2000.0,female
531,Anguilla,2000.0,female
532,Anguilla,2000.0,female
533,Anguilla,2000.0,female
534,Anguilla,2000.0,female
535,Anguilla,2000.0,male
536,Anguilla,2000.0,male
537,Anguilla,2000.0,male
538,Anguilla,2000.0,male
539,Anguilla,2000.0,male
540,Anguilla,2000.0,male
541,Anguilla,2001.0,female
542,Anguilla,2001.0,female
543,Anguilla,2001.0,female
544,Anguilla,2001.0,female
545,Anguilla,2001.0,female
546,Anguilla,2001.0,female
547,Anguilla,2001.0,male
548,Anguilla,2001.0,male
549,Anguilla,2001.0,male
550,Anguilla,2001.0,male
551,Anguilla,2001.0,male
552,Anguilla,2001.0,male
553,Anguilla,2002.0,female
554,Anguilla,2002.0,female
555,Anguilla,2002.0,female
556,Anguilla,2002.0,female
557,Anguilla,2002.0,female
558,Anguilla,2002.0,female
559,Anguilla,2002.0,male
560,Anguilla,2002.0,male
561,Anguilla,2002.0,male
562,Anguilla,2002.0,male
563,Anguilla,2002.0,male
564,Anguilla,2002.0,male
565,Anguilla,2003.0,female
566,Anguilla,2003.0,female
567,Anguilla,2003.0,female
568,Anguilla,2003.0,female
569,Anguilla,2003.0,female
570,Anguilla,2003.0,female
571,Anguilla,2003.0,male
572,Anguilla,2003.0,male
573,Anguilla,2003.0,male
574,Anguilla,2003.0,male
575,Anguilla,2003.0,male
576,Anguilla,2003.0,male
577,Anguilla,2004.0,female
578,Anguilla,2004.0,female
579,Anguilla,2004.0,female
580,Anguilla,2004.0,female
581,Anguilla,2004.0,female
582,Anguilla,2004.0,female
583,Anguilla,2004.0,male
584,Anguilla,2004.0,male
585,Anguilla,2004.0,male
586,Anguilla,2004.0,male
587,Anguilla,2004.0,male
588,Anguilla,2004.0,male
589,Anguilla,2005.0,female
590,Anguilla,2005.0,female
591,Anguilla,2005.0,female
592,Anguilla,2005.0,female
593,Anguilla,2005.0,female
594,Anguilla,2005.0,female
595,Anguilla,2005.0,male
596,Anguilla,2005.0,male
597,Anguilla,2005.0,male
598,Anguilla,2005.0,male
599,Anguilla,2005.0,male
600,Anguilla,2005.0,male
601,Anguilla,2006.0,female
602,Anguilla,2006.0,female
603,Anguilla,2006.0,female
604,Anguilla,2006.0,female
605,Anguilla,2006.0,female
606,Anguilla,2006.0,female
607,Anguilla,2006.0,male
608,Anguilla,2006.0,male
609,Anguilla,2006.0,male
610,Anguilla,2006.0,male
611,Anguilla,2006.0,male
612,Anguilla,2006.0,male
613,Anguilla,2008.0,female
614,Anguilla,2008.0,female
615,Anguilla,2008.0,female
616,Anguilla,2008.0,female
617,Anguilla,2008.0,female
618,Anguilla,2008.0,female
619,Anguilla,2008.0,male
620,Anguilla,2008.0,male
621,Anguilla,2008.0,male
622,Anguilla,2008.0,male
623,Anguilla,2008.0,male
624,Anguilla,2008.0,male
625,Anguilla,2009.0,female
626,Anguilla,2009.0,female
627,Anguilla,2009.0,female
628,Anguilla,2009.0,female
629,Anguilla,2009.0,female
630,Anguilla,2009.0,female
631,Anguilla,2009.0,male
632,Anguilla,2009.0,male
633,Anguilla,2009.0,male
634,Anguilla,2009.0,male
635,Anguilla,2009.0,male
636,Anguilla,2009.0,male
637,Anguilla,2010.0,female
638,Anguilla,2010.0,female
639,Anguilla,2010.0,female
640,Anguilla,2010.0,female
641,Anguilla,2010.0,female
642,Anguilla,2010.0,female
643,Anguilla,2010.0,male
644,Anguilla,2010.0,male
645,Anguilla,2010.0,male
646,Anguilla,2010.0,male
647,Anguilla,2010.0,male
648,Anguilla,2010.0,male
649,Anguilla,2011.0,female
650,Anguilla,2011.0,female
651,Anguilla,2011.0,female
652,Anguilla,2011.0,female
653,Anguilla,2011.0,female
654,Anguilla,2011.0,female
655,Anguilla,2011.0,male
656,Anguilla,2011.0,male
657,Anguilla,2011.0,male
658,Anguilla,2011.0,male
659,Anguilla,2011.0,male
660,Anguilla,2011.0,male
661,Anguilla,2012.0,female
662,Anguilla,2012.0,female
663,Anguilla,2012.0,female
664,Anguilla,2012.0,female
665,Anguilla,2012.0,female
666,Anguilla,2012.0,female
667,Anguilla,2012.0,male
668,Anguilla,2012.0,male
669,Anguilla,2012.0,male
670,Anguilla,2012.0,male
671,Anguilla,2012.0,male
672,Anguilla,2012.0,male
