id,country,year,sex
30697,Portugal,2010.0,female
30698,Portugal,2010.0,female
30699,Portugal,2010.0,female
30700,Portugal,2010.0,female
30701,Portugal,2010.0,female
30702,Portugal,2010.0,female
30703,Portugal,2010.0,male
30704,Portugal,2010.0,male
30705,Portugal,2010.0,male
30706,Portugal,2010.0,male
30707,Portugal,2010.0,male
30708,Portugal,2010.0,male
30709,Portugal,2011.0,female
30710,Portugal,2011.0,female
30711,Portugal,2011.0,female
30712,Portugal,2011.0,female
30713,Portugal,2011.0,female
30714,Portugal,2011.0,female
30715,Portugal,2011.0,male
30716,Portugal,2011.0,male
30717,Portugal,2011.0,male
30718,Portugal,2011.0,male
30719,Portugal,2011.0,male
30720,Portugal,2011.0,male
30721,Portugal,2012.0,female
30722,Portugal,2012.0,female
30723,Portugal,2012.0,female
30724,Portugal,2012.0,female
30725,Portugal,2012.0,female
30726,Portugal,2012.0,female
30727,Portugal,2012.0,male
30728,Portugal,2012.0,male
30729,Portugal,2012.0,male
30730,Portugal,2012.0,male
30731,Portugal,2012.0,male
30732,Portugal,2012.0,male
30733,Portugal,2013.0,female
30734,Portugal,2013.0,female
30735,Portugal,2013.0,female
30736,Portugal,2013.0,female
30737,Portugal,2013.0,female
30738,Portugal,2013.0,female
30739,Portugal,2013.0,male
30740,Portugal,2013.0,male
30741,Portugal,2013.0,male
30742,Portugal,2013.0,male
30743,Portugal,2013.0,male
30744,Portugal,2013.0,male
30745,Portugal,2014.0,female
30746,Portugal,2014.0,female
30747,Portugal,2014.0,female
30748,Portugal,2014.0,female
30749,Portugal,2014.0,female
30750,Portugal,2014.0,female
30751,Portugal,2014.0,male
30752,Portugal,2014.0,male
30753,Portugal,2014.0,male
30754,Portugal,2014.0,male
30755,Portugal,2014.0,male
30756,Portugal,2014.0,male
30757,Puerto Rico,1979.0,female
30758,Puerto Rico,1979.0,female
30759,Puerto Rico,1979.0,female
30760,Puerto Rico,1979.0,female
30761,Puerto Rico,1979.0,female
30762,Puerto Rico,1979.0,female
30763,Puerto Rico,1979.0,male
30764,Puerto Rico,1979.0,male
30765,Puerto Rico,1979.0,male
30766,Puerto Rico,1979.0,male
30767,Puerto Rico,1979.0,male
30768,Puerto Rico,1979.0,male
30769,Puerto Rico,1980.0,female
30770,Puerto Rico,1980.0,female
30771,Puerto Rico,1980.0,female
30772,Puerto Rico,1980.0,female
30773,Puerto Rico,1980.0,female
30774,Puerto Rico,1980.0,female
30775,Puerto Rico,1980.0,male
30776,Puerto Rico,1980.0,male
30777,Puerto Rico,1980.0,male
30778,Puerto Rico,1980.0,male
30779,Puerto Rico,1980.0,male
30780,Puerto Rico,1980.0,male
30781,Puerto Rico,1981.0,female
30782,Puerto Rico,1981.0,female
30783,Puerto Rico,1981.0,female
30784,Puerto Rico,1981.0,female
30785,Puerto Rico,1981.0,female
30786,Puerto Rico,1981.0,female
30787,Puerto Rico,1981.0,male
30788,Puerto Rico,1981.0,male
30789,Puerto Rico,1981.0,male
30790,Puerto Rico,1981.0,male
30791,Puerto Rico,1981.0,male
30792,Puerto Rico,1981.0,male
30793,Puerto Rico,1982.0,female
30794,Puerto Rico,1982.0,female
30795,Puerto Rico,1982.0,female
30796,Puerto Rico,1982.0,female
30797,Puerto Rico,1982.0,female
30798,Puerto Rico,1982.0,female
30799,Puerto Rico,1982.0,male
30800,Puerto Rico,1982.0,male
30801,Puerto Rico,1982.0,male
30802,Puerto Rico,1982.0,male
30803,Puerto Rico,1982.0,male
30804,Puerto Rico,1982.0,male
30805,Puerto Rico,1983.0,female
30806,Puerto Rico,1983.0,female
30807,Puerto Rico,1983.0,female
30808,Puerto Rico,1983.0,female
30809,Puerto Rico,1983.0,female
30810,Puerto Rico,1983.0,female
30811,Puerto Rico,1983.0,male
30812,Puerto Rico,1983.0,male
30813,Puerto Rico,1983.0,male
30814,Puerto Rico,1983.0,male
30815,Puerto Rico,1983.0,male
30816,Puerto Rico,1983.0,male
30817,Puerto Rico,1984.0,female
30818,Puerto Rico,1984.0,female
30819,Puerto Rico,1984.0,female
30820,Puerto Rico,1984.0,female
30821,Puerto Rico,1984.0,female
30822,Puerto Rico,1984.0,female
30823,Puerto Rico,1984.0,male
30824,Puerto Rico,1984.0,male
30825,Puerto Rico,1984.0,male
30826,Puerto Rico,1984.0,male
30827,Puerto Rico,1984.0,male
30828,Puerto Rico,1984.0,male
30829,Puerto Rico,1985.0,female
30830,Puerto Rico,1985.0,female
30831,Puerto Rico,1985.0,female
30832,Puerto Rico,1985.0,female
30833,Puerto Rico,1985.0,female
30834,Puerto Rico,1985.0,female
30835,Puerto Rico,1985.0,male
30836,Puerto Rico,1985.0,male
30837,Puerto Rico,1985.0,male
30838,Puerto Rico,1985.0,male
30839,Puerto Rico,1985.0,male
30840,Puerto Rico,1985.0,male
30841,Puerto Rico,1986.0,female
30842,Puerto Rico,1986.0,female
30843,Puerto Rico,1986.0,female
30844,Puerto Rico,1986.0,female
30845,Puerto Rico,1986.0,female
30846,Puerto Rico,1986.0,female
30847,Puerto Rico,1986.0,male
30848,Puerto Rico,1986.0,male
30849,Puerto Rico,1986.0,male
30850,Puerto Rico,1986.0,male
30851,Puerto Rico,1986.0,male
30852,Puerto Rico,1986.0,male
30853,Puerto Rico,1987.0,female
30854,Puerto Rico,1987.0,female
30855,Puerto Rico,1987.0,female
30856,Puerto Rico,1987.0,female
30857,Puerto Rico,1987.0,female
30858,Puerto Rico,1987.0,female
30859,Puerto Rico,1987.0,male
30860,Puerto Rico,1987.0,male
30861,Puerto Rico,1987.0,male
30862,Puerto Rico,1987.0,male
30863,Puerto Rico,1987.0,male
30864,Puerto Rico,1987.0,male
30865,Puerto Rico,1988.0,female
30866,Puerto Rico,1988.0,female
30867,Puerto Rico,1988.0,female
30868,Puerto Rico,1988.0,female
30869,Puerto Rico,1988.0,female
30870,Puerto Rico,1988.0,female
30871,Puerto Rico,1988.0,male
30872,Puerto Rico,1988.0,male
30873,Puerto Rico,1988.0,male
30874,Puerto Rico,1988.0,male
30875,Puerto Rico,1988.0,male
30876,Puerto Rico,1988.0,male
30877,Puerto Rico,1989.0,female
30878,Puerto Rico,1989.0,female
30879,Puerto Rico,1989.0,female
30880,Puerto Rico,1989.0,female
30881,Puerto Rico,1989.0,female
30882,Puerto Rico,1989.0,female
30883,Puerto Rico,1989.0,male
30884,Puerto Rico,1989.0,male
30885,Puerto Rico,1989.0,male
30886,Puerto Rico,1989.0,male
30887,Puerto Rico,1989.0,male
30888,Puerto Rico,1989.0,male
30889,Puerto Rico,1990.0,female
30890,Puerto Rico,1990.0,female
30891,Puerto Rico,1990.0,female
30892,Puerto Rico,1990.0,female
30893,Puerto Rico,1990.0,female
30894,Puerto Rico,1990.0,female
30895,Puerto Rico,1990.0,male
30896,Puerto Rico,1990.0,male
30897,Puerto Rico,1990.0,male
30898,Puerto Rico,1990.0,male
30899,Puerto Rico,1990.0,male
30900,Puerto Rico,1990.0,male
30901,Puerto Rico,1991.0,female
30902,Puerto Rico,1991.0,female
30903,Puerto Rico,1991.0,female
30904,Puerto Rico,1991.0,female
30905,Puerto Rico,1991.0,female
30906,Puerto Rico,1991.0,female
30907,Puerto Rico,1991.0,male
30908,Puerto Rico,1991.0,male
30909,Puerto Rico,1991.0,male
30910,Puerto Rico,1991.0,male
30911,Puerto Rico,1991.0,male
30912,Puerto Rico,1991.0,male
30913,Puerto Rico,1992.0,female
30914,Puerto Rico,1992.0,female
30915,Puerto Rico,1992.0,female
30916,Puerto Rico,1992.0,female
30917,Puerto Rico,1992.0,female
30918,Puerto Rico,1992.0,female
30919,Puerto Rico,1992.0,male
30920,Puerto Rico,1992.0,male
30921,Puerto Rico,1992.0,male
30922,Puerto Rico,1992.0,male
30923,Puerto Rico,1992.0,male
30924,Puerto Rico,1992.0,male
30925,Puerto Rico,1993.0,female
30926,Puerto Rico,1993.0,female
30927,Puerto Rico,1993.0,female
30928,Puerto Rico,1993.0,female
30929,Puerto Rico,1993.0,female
30930,Puerto Rico,1993.0,female
30931,Puerto Rico,1993.0,male
30932,Puerto Rico,1993.0,male
30933,Puerto Rico,1993.0,male
30934,Puerto Rico,1993.0,male
30935,Puerto Rico,1993.0,male
30936,Puerto Rico,1993.0,male
30937,Puerto Rico,1994.0,female
30938,Puerto Rico,1994.0,female
30939,Puerto Rico,1994.0,female
30940,Puerto Rico,1994.0,female
30941,Puerto Rico,1994.0,female
30942,Puerto Rico,1994.0,female
30943,Puerto Rico,1994.0,male
30944,Puerto Rico,1994.0,male
30945,Puerto Rico,1994.0,male
30946,Puerto Rico,1994.0,male
30947,Puerto Rico,1994.0,male
30948,Puerto Rico,1994.0,male
30949,Puerto Rico,1995.0,female
30950,Puerto Rico,1995.0,female
30951,Puerto Rico,1995.0,female
30952,Puerto Rico,1995.0,female
30953,Puerto Rico,1995.0,female
30954,Puerto Rico,1995.0,female
30955,Puerto Rico,1995.0,male
30956,Puerto Rico,1995.0,male
30957,Puerto Rico,1995.0,male
30958,Puerto Rico,1995.0,male
