id,age,suicides_no,population
1,15-24 years,,277900.0
2,25-34 years,,246800.0
3,35-54 years,,267500.0
4,5-14 years,,298300.0
5,55-74 years,,138700.0
6,75+ years,,34200.0
7,15-24 years,,301400.0
8,25-34 years,,264200.0
9,35-54 years,,296700.0
10,5-14 years,,325800.0
11,55-74 years,,132500.0
12,75+ years,,21100.0
13,15-24 years,,283900.0
14,25-34 years,,252100.0
15,35-54 years,,273200.0
16,5-14 years,,304700.0
17,55-74 years,,141700.0
18,75+ years,,34900.0
19,15-24 years,,306700.0
20,25-34 years,,269000.0
21,35-54 years,,302000.0
22,5-14 years,,331600.0
23,55-74 years,,134800.0
24,75+ years,,21400.0
25,15-24 years,14.0,289700.0
26,25-34 years,4.0,257200.0
27,35-54 years,6.0,278800.0
28,5-14 years,0.0,311000.0
29,55-74 years,0.0,144600.0
30,75+ years,1.0,35600.0
31,15-24 years,21.0,312900.0
32,25-34 years,9.0,274300.0
33,35-54 years,16.0,308000.0
34,5-14 years,0.0,338200.0
35,55-74 years,1.0,137500.0
36,75+ years,1.0,21800.0
37,15-24 years,8.0,295600.0
38,25-34 years,5.0,262400.0
39,35-54 years,4.0,284500.0
40,5-14 years,0.0,317200.0
41,55-74 years,3.0,147500.0
42,75+ years,2.0,36400.0
43,15-24 years,17.0,319200.0
44,25-34 years,5.0,279900.0
45,35-54 years,14.0,314100.0
46,5-14 years,0.0,345000.0
47,55-74 years,4.0,140200.0
48,75+ years,1.0,22300.0
49,15-24 years,5.0,299900.0
50,25-34 years,2.0,266300.0
51,35-54 years,7.0,288600.0
52,5-14 years,0.0,321900.0
53,55-74 years,1.0,149600.0
54,75+ years,0.0,37000.0
55,15-24 years,12.0,323500.0
56,25-34 years,18.0,283600.0
57,35-54 years,15.0,318400.0
58,5-14 years,0.0,349700.0
59,55-74 years,6.0,142100.0
60,75+ years,2.0,22500.0
61,15-24 years,,305900.0
62,25-34 years,,278000.0
63,35-54 years,,308300.0
64,5-14 years,,329600.0
65,55-74 years,,156400.0
66,75+ years,,37600.0
67,15-24 years,,325600.0
68,25-34 years,,295100.0
69,35-54 years,,337700.0
70,5-14 years,,355600.0
71,55-74 years,,149700.0
72,75+ years,,23200.0
73,15-24 years,,301100.0
74,25-34 years,,274700.0
75,35-54 years,,316500.0
76,5-14 years,,333300.0
77,55-74 years,,160800.0
78,75+ years,,38300.0
79,15-24 years,,302200.0
80,25-34 years,,276900.0
81,35-54 years,,342600.0
82,5-14 years,,359500.0
83,55-74 years,,154800.0
84,75+ years,,23600.0
85,15-24 years,7.0,292400.0
86,25-34 years,4.0,267400.0
87,35-54 years,2.0,323100.0
88,5-14 years,0.0,336700.0
89,55-74 years,1.0,164900.0
90,75+ years,0.0,38700.0
91,15-24 years,9.0,263700.0
92,25-34 years,7.0,245500.0
93,35-54 years,12.0,343800.0
94,5-14 years,0.0,362900.0
95,55-74 years,5.0,159500.0
96,75+ years,0.0,23900.0
97,15-24 years,10.0,285300.0
98,25-34 years,7.0,261800.0
99,35-54 years,7.0,331200.0
100,5-14 years,1.0,340300.0
101,55-74 years,2.0,169500.0
102,75+ years,0.0,39300.0
103,15-24 years,18.0,243300.0
104,25-34 years,9.0,230100.0
105,35-54 years,10.0,350300.0
106,5-14 years,1.0,367000.0
107,55-74 years,7.0,165000.0
108,75+ years,1.0,24200.0
109,15-24 years,6.0,282600.0
110,25-34 years,4.0,261100.0
111,35-54 years,2.0,342500.0
112,5-14 years,0.0,344400.0
113,55-74 years,1.0,174600.0
114,75+ years,2.0,39900.0
115,15-24 years,6.0,242200.0
116,25-34 years,6.0,231400.0
117,35-54 years,9.0,362800.0
118,5-14 years,1.0,371800.0
119,55-74 years,11.0,171400.0
120,75+ years,2.0,24600.0
121,15-24 years,13.0,283500.0
122,25-34 years,7.0,264000.0
123,35-54 years,8.0,356400.0
124,5-14 years,2.0,348700.0
125,55-74 years,2.0,180400.0
126,75+ years,2.0,40800.0
127,15-24 years,11.0,241200.0
128,25-34 years,13.0,232900.0
129,35-54 years,14.0,375900.0
130,5-14 years,6.0,376500.0
131,55-74 years,9.0,178000.0
132,75+ years,1.0,25100.0
133,15-24 years,16.0,287700.0
134,25-34 years,10.0,267900.0
135,35-54 years,9.0,362000.0
136,5-14 years,1.0,354100.0
137,55-74 years,1.0,183100.0
138,75+ years,2.0,41200.0
139,15-24 years,17.0,243600.0
140,25-34 years,14.0,235300.0
141,35-54 years,12.0,379600.0
142,5-14 years,2.0,380400.0
143,55-74 years,3.0,179900.0
144,75+ years,2.0,25400.0
145,15-24 years,21.0,294000.0
146,25-34 years,16.0,273900.0
147,35-54 years,7.0,370100.0
148,5-14 years,6.0,361800.0
149,55-74 years,0.0,187000.0
150,75+ years,2.0,42100.0
151,15-24 years,33.0,244400.0
152,25-34 years,36.0,236000.0
153,35-54 years,30.0,380800.0
154,5-14 years,4.0,381500.0
155,55-74 years,12.0,180300.0
156,75+ years,3.0,25400.0
157,15-24 years,32.0,295600.0
158,25-34 years,10.0,275300.0
159,35-54 years,9.0,372100.0
160,5-14 years,1.0,363800.0
161,55-74 years,6.0,188200.0
162,75+ years,0.0,42300.0
163,15-24 years,27.0,248800.0
164,25-34 years,26.0,240400.0
165,35-54 years,29.0,388200.0
166,5-14 years,2.0,388400.0
167,55-74 years,9.0,183800.0
168,75+ years,3.0,25800.0
169,15-24 years,19.0,296800.0
170,25-34 years,13.0,276500.0
171,35-54 years,5.0,373600.0
172,5-14 years,1.0,365200.0
173,55-74 years,6.0,188800.0
174,75+ years,4.0,42400.0
175,15-24 years,24.0,250600.0
176,25-34 years,19.0,242300.0
177,35-54 years,31.0,391100.0
178,5-14 years,0.0,391300.0
179,55-74 years,14.0,185200.0
180,75+ years,3.0,25900.0
181,15-24 years,6.0,263900.0
182,25-34 years,3.0,245800.0
183,35-54 years,5.0,332200.0
184,5-14 years,0.0,324700.0
185,55-74 years,0.0,168000.0
186,75+ years,2.0,37800.0
187,15-24 years,5.0,240000.0
188,25-34 years,17.0,232000.0
189,35-54 years,4.0,374700.0
190,5-14 years,1.0,374900.0
191,55-74 years,10.0,177400.0
192,75+ years,1.0,24900.0
193,15-24 years,9.0,271359.0
194,25-34 years,4.0,222771.0
195,35-54 years,12.0,370191.0
196,5-14 years,2.0,307356.0
197,55-74 years,6.0,189799.0
198,75+ years,2.0,47254.0
199,15-24 years,10.0,256039.0
200,25-34 years,22.0,206484.0
201,35-54 years,34.0,378826.0
202,5-14 years,6.0,321556.0
203,55-74 years,11.0,196670.0
204,75+ years,1.0,31044.0
205,15-24 years,14.0,275970.0
206,25-34 years,7.0,223685.0
207,35-54 years,15.0,375113.0
208,5-14 years,1.0,304850.0
209,55-74 years,4.0,191712.0
210,75+ years,1.0,47407.0
211,15-24 years,15.0,263067.0
212,25-34 years,23.0,206286.0
213,35-54 years,35.0,382139.0
214,5-14 years,1.0,319473.0
215,55-74 years,13.0,198130.0
216,75+ years,4.0,31007.0
217,15-24 years,14.0,283709.0
218,25-34 years,9.0,222941.0
219,35-54 years,13.0,381760.0
220,5-14 years,0.0,298477.0
221,55-74 years,9.0,195699.0
222,75+ years,6.0,49088.0
223,15-24 years,15.0,273235.0
224,25-34 years,9.0,205433.0
225,35-54 years,28.0,386196.0
226,5-14 years,4.0,313204.0
227,55-74 years,16.0,201520.0
228,75+ years,1.0,32667.0
229,15-24 years,20.0,292268.0
230,25-34 years,11.0,222389.0
231,35-54 years,17.0,391436.0
232,5-14 years,3.0,286705.0
233,55-74 years,3.0,203841.0
234,75+ years,3.0,50970.0
235,15-24 years,19.0,286768.0
236,25-34 years,16.0,203938.0
237,35-54 years,39.0,391767.0
238,5-14 years,1.0,302181.0
239,55-74 years,10.0,207202.0
240,75+ years,4.0,35526.0
241,15-24 years,0.0,281922.0
242,25-34 years,0.0,190745.0
243,35-54 years,0.0,386513.0
244,5-14 years,0.0,276559.0
245,55-74 years,0.0,210998.0
246,75+ years,0.0,53191.0
247,15-24 years,0.0,281675.0
248,25-34 years,0.0,177519.0
249,35-54 years,0.0,380242.0
250,5-14 years,0.0,291367.0
251,55-74 years,0.0,214118.0
252,75+ years,0.0,38471.0
253,15-24 years,0.0,283138.0
254,25-34 years,0.0,186391.0
255,35-54 years,0.0,388746.0
256,5-14 years,0.0,267316.0
257,55-74 years,0.0,215907.0
258,75+ years,0.0,56011.0
259,15-24 years,0.0,286679.0
260,25-34 years,0.0,174092.0
261,35-54 years,0.0,379076.0
262,5-14 years,0.0,282678.0
263,55-74 years,0.0,219360.0
264,75+ years,0.0,40782.0
265,15-24 years,13.0,281080.0
266,25-34 years,8.0,183629.0
267,35-54 years,14.0,391811.0
268,5-14 years,0.0,256808.0
269,55-74 years,9.0,221120.0
270,75+ years,3.0,57404.0
271,15-24 years,13.0,288349.0
272,25-34 years,9.0,172494.0
273,35-54 years,29.0,378626.0
274,5-14 years,4.0,272497.0
275,55-74 years,14.0,224160.0
276,75+ years,8.0,42366.0
277,15-24 years,20.0,276073.0
278,25-34 years,9.0,182663.0
279,35-54 years,19.0,393832.0
280,5-14 years,1.0,246288.0
281,55-74 years,7.0,226448.0
282,75+ years,5.0,59369.0
283,15-24 years,11.0,286702.0
284,25-34 years,21.0,172855.0
285,35-54 years,37.0,377119.0
286,5-14 years,7.0,262464.0
287,55-74 years,21.0,228672.0
288,75+ years,2.0,44574.0
289,15-24 years,0.0,270003.0
290,25-34 years,0.0,182712.0
291,35-54 years,0.0,394286.0
292,5-14 years,0.0,236174.0
293,55-74 years,0.0,233302.0
294,75+ years,0.0,61582.0
295,15-24 years,0.0,283448.0
296,25-34 years,0.0,174955.0
297,35-54 years,0.0,374365.0
298,5-14 years,0.0,253007.0
299,55-74 years,0.0,234570.0
300,75+ years,0.0,47331.0
301,15-24 years,6.0,263581.0
302,25-34 years,6.0,183579.0
303,35-54 years,12.0,394593.0
304,5-14 years,2.0,223969.0
305,55-74 years,7.0,241491.0
306,75+ years,2.0,64415.0
307,15-24 years,10.0,279508.0
308,25-34 years,9.0,179720.0
309,35-54 years,20.0,371611.0
310,5-14 years,0.0,240939.0
311,55-74 years,20.0,241852.0
312,75+ years,2.0,50767.0
313,15-24 years,,258006.0
314,25-34 years,,184556.0
315,35-54 years,,394638.0
316,5-14 years,,210822.0
317,55-74 years,,250641.0
318,75+ years,,67649.0
319,15-24 years,,275385.0
320,25-34 years,,185898.0
321,35-54 years,,368950.0
322,5-14 years,,228071.0
323,55-74 years,,250362.0
324,75+ years,,54228.0
325,15-24 years,,249730.0
326,25-34 years,,187346.0
327,35-54 years,,395819.0
328,5-14 years,,198385.0
329,55-74 years,,259751.0
330,75+ years,,69811.0
331,15-24 years,,268954.0
332,25-34 years,,194250.0
333,35-54 years,,369536.0
334,5-14 years,,215894.0
335,55-74 years,,259056.0
336,75+ years,,56701.0
337,15-24 years,,237550.0
338,25-34 years,,191853.0
339,35-54 years,,397517.0
340,5-14 years,,187558.0
341,55-74 years,,269026.0
342,75+ years,,71601.0
343,15-24 years,,259826.0
344,25-34 years,,204491.0
345,35-54 years,,372005.0
346,5-14 years,,204865.0
347,55-74 years,,267905.0
348,75+ years,,59113.0
349,15-24 years,,224883.0
350,25-34 years,,195460.0
351,35-54 years,,399197.0
352,5-14 years,,177838.0
353,55-74 years,,278887.0
354,75+ years,,73945.0
355,15-24 years,,250345.0
356,25-34 years,,213828.0
357,35-54 years,,373493.0
358,5-14 years,,194554.0
359,55-74 years,,277604.0
360,75+ years,,61678.0
361,15-24 years,,212324.0
362,25-34 years,,199024.0
363,35-54 years,,400275.0
364,5-14 years,,168140.0
365,55-74 years,,289055.0
366,75+ years,,76861.0
367,15-24 years,,240777.0
368,25-34 years,,222680.0
369,35-54 years,,374464.0
370,5-14 years,,184114.0
371,55-74 years,,287770.0
372,75+ years,,64200.0
373,15-24 years,0.0,
374,25-34 years,0.0,
375,35-54 years,0.0,
376,5-14 years,0.0,
377,55-74 years,0.0,
378,75+ years,0.0,
379,15-24 years,0.0,
380,25-34 years,0.0,
381,35-54 years,0.0,
382,5-14 years,0.0,
383,55-74 years,0.0,
384,75+ years,0.0,
385,15-24 years,0.0,
386,25-34 years,0.0,
387,35-54 years,0.0,
388,5-14 years,0.0,
389,55-74 years,0.0,
390,75+ years,0.0,
391,15-24 years,0.0,
392,25-34 years,0.0,
393,35-54 years,0.0,
394,5-14 years,0.0,
395,55-74 years,0.0,
396,75+ years,0.0,
397,15-24 years,0.0,
398,25-34 years,0.0,
399,35-54 years,0.0,
400,5-14 years,0.0,
401,55-74 years,0.0,
402,75+ years,0.0,
403,15-24 years,0.0,
404,25-34 years,0.0,
405,35-54 years,0.0,
406,5-14 years,0.0,
407,55-74 years,0.0,
408,75+ years,0.0,
409,15-24 years,0.0,
410,25-34 years,0.0,
411,35-54 years,0.0,
412,5-14 years,0.0,
413,55-74 years,0.0,
414,75+ years,0.0,
415,15-24 years,0.0,
416,25-34 years,0.0,
417,35-54 years,0.0,
418,5-14 years,0.0,
419,55-74 years,0.0,
420,75+ years,0.0,
421,15-24 years,0.0,
422,25-34 years,0.0,
423,35-54 years,0.0,
424,5-14 years,0.0,
425,55-74 years,0.0,
426,75+ years,0.0,
427,15-24 years,0.0,
428,25-34 years,0.0,
429,35-54 years,0.0,
430,5-14 years,0.0,
431,55-74 years,0.0,
432,75+ years,0.0,
433,15-24 years,0.0,
434,25-34 years,0.0,
435,35-54 years,0.0,
436,5-14 years,0.0,
437,55-74 years,0.0,
438,75+ years,0.0,
439,15-24 years,0.0,
440,25-34 years,0.0,
441,35-54 years,0.0,
442,5-14 years,0.0,
443,55-74 years,0.0,
444,75+ years,0.0,
445,15-24 years,0.0,
446,25-34 years,0.0,
447,35-54 years,0.0,
448,5-14 years,0.0,
449,55-74 years,0.0,
450,75+ years,0.0,
451,15-24 years,0.0,
452,25-34 years,0.0,
453,35-54 years,0.0,
454,5-14 years,0.0,
455,55-74 years,0.0,
456,75+ years,0.0,
457,15-24 years,0.0,
458,25-34 years,0.0,
459,35-54 years,0.0,
460,5-14 years,0.0,
461,55-74 years,0.0,
462,75+ years,0.0,
463,15-24 years,0.0,
464,25-34 years,0.0,
465,35-54 years,0.0,
466,5-14 years,0.0,
467,55-74 years,0.0,
468,75+ years,0.0,
469,15-24 years,0.0,
470,25-34 years,0.0,
471,35-54 years,0.0,
472,5-14 years,0.0,
473,55-74 years,0.0,
474,75+ years,0.0,
475,15-24 years,0.0,
476,25-34 years,0.0,
477,35-54 years,0.0,
478,5-14 years,0.0,
479,55-74 years,0.0,
480,75+ years,0.0,
481,15-24 years,0.0,
482,25-34 years,0.0,
483,35-54 years,0.0,
484,5-14 years,0.0,
485,55-74 years,0.0,
486,75+ years,0.0,
487,15-24 years,0.0,
488,25-34 years,0.0,
489,35-54 years,0.0,
490,5-14 years,0.0,
491,55-74 years,0.0,
492,75+ years,0.0,
493,15-24 years,0.0,
494,25-34 years,0.0,
495,35-54 years,0.0,
496,5-14 years,0.0,
497,55-74 years,0.0,
498,75+ years,0.0,
499,15-24 years,0.0,
500,25-34 years,0.0,
501,35-54 years,0.0,
502,5-14 years,0.0,
503,55-74 years,0.0,
504,75+ years,0.0,
505,15-24 years,0.0,
506,25-34 years,0.0,
507,35-54 years,0.0,
508,5-14 years,0.0,
509,55-74 years,0.0,
510,75+ years,0.0,
511,15-24 years,0.0,
512,25-34 years,0.0,
513,35-54 years,0.0,
514,5-14 years,0.0,
515,55-74 years,0.0,
516,75+ years,0.0,
517,15-24 years,0.0,
518,25-34 years,0.0,
519,35-54 years,0.0,
520,5-14 years,0.0,
521,55-74 years,0.0,
522,75+ years,0.0,
523,15-24 years,0.0,
524,25-34 years,0.0,
525,35-54 years,0.0,
526,5-14 years,0.0,
527,55-74 years,0.0,
528,75+ years,0.0,
529,15-24 years,0.0,
530,25-34 years,0.0,
531,35-54 years,0.0,
532,5-14 years,0.0,
533,55-74 years,0.0,
534,75+ years,0.0,
535,15-24 years,0.0,
536,25-34 years,0.0,
537,35-54 years,0.0,
538,5-14 years,0.0,
539,55-74 years,0.0,
540,75+ years,0.0,
541,15-24 years,0.0,
542,25-34 years,0.0,
543,35-54 years,0.0,
544,5-14 years,0.0,
545,55-74 years,0.0,
546,75+ years,0.0,
547,15-24 years,0.0,
548,25-34 years,0.0,
549,35-54 years,0.0,
550,5-14 years,0.0,
551,55-74 years,0.0,
552,75+ years,0.0,
553,15-24 years,0.0,
554,25-34 years,0.0,
555,35-54 years,0.0,
556,5-14 years,0.0,
557,55-74 years,0.0,
558,75+ years,0.0,
559,15-24 years,0.0,
560,25-34 years,0.0,
561,35-54 years,1.0,
562,5-14 years,0.0,
563,55-74 years,0.0,
564,75+ years,0.0,
565,15-24 years,0.0,
566,25-34 years,0.0,
567,35-54 years,0.0,
568,5-14 years,0.0,
569,55-74 years,0.0,
570,75+ years,0.0,
571,15-24 years,0.0,
572,25-34 years,0.0,
573,35-54 years,0.0,
574,5-14 years,0.0,
575,55-74 years,0.0,
576,75+ years,0.0,
577,15-24 years,0.0,
578,25-34 years,0.0,
579,35-54 years,0.0,
580,5-14 years,0.0,
581,55-74 years,0.0,
582,75+ years,0.0,
583,15-24 years,0.0,
584,25-34 years,0.0,
585,35-54 years,0.0,
586,5-14 years,0.0,
587,55-74 years,0.0,
588,75+ years,0.0,
589,15-24 years,0.0,
590,25-34 years,0.0,
591,35-54 years,0.0,
592,5-14 years,0.0,
593,55-74 years,0.0,
594,75+ years,0.0,
595,15-24 years,0.0,
596,25-34 years,0.0,
597,35-54 years,0.0,
598,5-14 years,0.0,
599,55-74 years,0.0,
600,75+ years,0.0,
601,15-24 years,0.0,
602,25-34 years,0.0,
603,35-54 years,0.0,
604,5-14 years,0.0,
605,55-74 years,0.0,
606,75+ years,0.0,
607,15-24 years,0.0,
608,25-34 years,0.0,
609,35-54 years,0.0,
610,5-14 years,0.0,
611,55-74 years,0.0,
612,75+ years,0.0,
613,15-24 years,0.0,
614,25-34 years,0.0,
615,35-54 years,0.0,
616,5-14 years,0.0,
617,55-74 years,0.0,
618,75+ years,0.0,
619,15-24 years,0.0,
620,25-34 years,0.0,
621,35-54 years,0.0,
622,5-14 years,0.0,
623,55-74 years,0.0,
624,75+ years,0.0,
625,15-24 years,0.0,
626,25-34 years,0.0,
627,35-54 years,0.0,
628,5-14 years,0.0,
629,55-74 years,0.0,
630,75+ years,0.0,
631,15-24 years,0.0,
632,25-34 years,0.0,
633,35-54 years,0.0,
634,5-14 years,0.0,
635,55-74 years,0.0,
636,75+ years,0.0,
637,15-24 years,0.0,
638,25-34 years,0.0,
639,35-54 years,0.0,
640,5-14 years,0.0,
641,55-74 years,0.0,
642,75+ years,0.0,
643,15-24 years,0.0,
644,25-34 years,0.0,
645,35-54 years,0.0,
646,5-14 years,0.0,
647,55-74 years,0.0,
648,75+ years,0.0,
649,15-24 years,0.0,
650,25-34 years,0.0,
651,35-54 years,0.0,
652,5-14 years,0.0,
653,55-74 years,0.0,
654,75+ years,0.0,
655,15-24 years,0.0,
656,25-34 years,0.0,
657,35-54 years,0.0,
658,5-14 years,0.0,
659,55-74 years,1.0,
660,75+ years,0.0,
661,15-24 years,0.0,
662,25-34 years,0.0,
663,35-54 years,0.0,
664,5-14 years,0.0,
665,55-74 years,0.0,
666,75+ years,0.0,
667,15-24 years,0.0,
668,25-34 years,0.0,
669,35-54 years,0.0,
670,5-14 years,0.0,
671,55-74 years,0.0,
672,75+ years,0.0,
673,15-24 years,0.0,
674,25-34 years,0.0,
675,35-54 years,0.0,
676,5-14 years,0.0,
677,55-74 years,0.0,
678,75+ years,0.0,
679,15-24 years,0.0,
680,25-34 years,0.0,
681,35-54 years,0.0,
682,5-14 years,0.0,
683,55-74 years,0.0,
684,75+ years,0.0,
685,15-24 years,0.0,
686,25-34 years,0.0,
687,35-54 years,0.0,
688,5-14 years,0.0,
689,55-74 years,0.0,
690,75+ years,0.0,
691,15-24 years,0.0,
692,25-34 years,0.0,
693,35-54 years,0.0,
694,5-14 years,0.0,
695,55-74 years,0.0,
696,75+ years,0.0,
697,15-24 years,0.0,
698,25-34 years,0.0,
699,35-54 years,0.0,
700,5-14 years,0.0,
701,55-74 years,0.0,
702,75+ years,0.0,
703,15-24 years,0.0,
704,25-34 years,0.0,
705,35-54 years,0.0,
706,5-14 years,0.0,
707,55-74 years,0.0,
708,75+ years,0.0,
709,15-24 years,0.0,
710,25-34 years,0.0,
711,35-54 years,0.0,
712,5-14 years,0.0,
713,55-74 years,0.0,
714,75+ years,0.0,
715,15-24 years,0.0,
716,25-34 years,0.0,
717,35-54 years,0.0,
718,5-14 years,0.0,
719,55-74 years,0.0,
720,75+ years,0.0,
721,15-24 years,0.0,7882.0
722,25-34 years,0.0,6341.0
723,35-54 years,0.0,6284.0
724,5-14 years,0.0,8119.0
725,55-74 years,0.0,3729.0
726,75+ years,0.0,904.0
727,15-24 years,0.0,7932.0
728,25-34 years,0.0,6317.0
729,35-54 years,0.0,5929.0
730,5-14 years,0.0,8165.0
731,55-74 years,0.0,2700.0
732,75+ years,0.0,389.0
733,15-24 years,0.0,7709.0
734,25-34 years,0.0,6344.0
735,35-54 years,0.0,6173.0
736,5-14 years,0.0,7339.0
737,55-74 years,0.0,3778.0
738,75+ years,0.0,949.0
739,15-24 years,0.0,7667.0
740,25-34 years,0.0,6194.0
741,35-54 years,0.0,5970.0
742,5-14 years,0.0,7304.0
743,55-74 years,0.0,2723.0
744,75+ years,0.0,424.0
745,15-24 years,0.0,7668.0
746,25-34 years,0.0,6209.0
747,35-54 years,0.0,6101.0
748,5-14 years,0.0,6907.0
749,55-74 years,0.0,3764.0
750,75+ years,0.0,1014.0
751,15-24 years,0.0,7563.0
752,25-34 years,0.0,6023.0
753,35-54 years,0.0,5947.0
754,5-14 years,0.0,6827.0
755,55-74 years,0.0,2771.0
756,75+ years,0.0,476.0
757,15-24 years,0.0,7583.0
758,25-34 years,0.0,6101.0
759,35-54 years,0.0,6059.0
760,5-14 years,0.0,6623.0
761,55-74 years,0.0,3738.0
762,75+ years,0.0,1081.0
763,15-24 years,0.0,7421.0
764,25-34 years,0.0,5893.0
765,35-54 years,0.0,5927.0
766,5-14 years,0.0,6499.0
767,55-74 years,0.0,2798.0
768,75+ years,0.0,538.0
769,15-24 years,0.0,7413.0
770,25-34 years,0.0,6041.0
771,35-54 years,0.0,6021.0
772,5-14 years,0.0,6527.0
773,55-74 years,0.0,3708.0
774,75+ years,0.0,1141.0
775,15-24 years,0.0,7209.0
776,25-34 years,0.0,5826.0
777,35-54 years,0.0,5907.0
778,5-14 years,0.0,6355.0
779,55-74 years,0.0,2813.0
780,75+ years,0.0,603.0
781,15-24 years,0.0,7152.0
782,25-34 years,0.0,6059.0
783,35-54 years,0.0,5969.0
784,5-14 years,0.0,6621.0
785,55-74 years,0.0,3696.0
786,75+ years,0.0,1195.0
787,15-24 years,0.0,6927.0
788,25-34 years,0.0,5835.0
789,35-54 years,0.0,5862.0
790,5-14 years,0.0,6403.0
791,55-74 years,0.0,2843.0
792,75+ years,0.0,676.0
793,15-24 years,0.0,6827.0
794,25-34 years,0.0,6172.0
795,35-54 years,0.0,5895.0
796,5-14 years,0.0,6877.0
797,55-74 years,0.0,3706.0
798,75+ years,0.0,1252.0
799,15-24 years,0.0,6598.0
800,25-34 years,0.0,5937.0
801,35-54 years,1.0,5799.0
802,5-14 years,0.0,6611.0
803,55-74 years,0.0,2902.0
804,55-74 years,0.0,2902.0
805,75+ years,0.0,758.0
806,15-24 years,0.0,6595.0
807,25-34 years,0.0,6396.0
808,35-54 years,0.0,6198.0
809,5-14 years,0.0,7089.0
810,55-74 years,0.0,3665.0
811,75+ years,0.0,1293.0
812,15-24 years,0.0,6401.0
813,25-34 years,0.0,6156.0
814,35-54 years,0.0,6122.0
815,5-14 years,0.0,6818.0
816,55-74 years,0.0,2857.0
817,75+ years,0.0,804.0
818,15-24 years,0.0,6369.0
819,25-34 years,0.0,6650.0
820,35-54 years,0.0,6534.0
821,5-14 years,0.0,7311.0
822,55-74 years,0.0,3648.0
823,75+ years,0.0,1339.0
824,15-24 years,0.0,6221.0
825,25-34 years,0.0,6409.0
826,35-54 years,0.0,6497.0
827,5-14 years,0.0,7059.0
828,55-74 years,0.0,2851.0
829,75+ years,0.0,853.0
830,15-24 years,0.0,6182.0
831,25-34 years,0.0,6914.0
832,35-54 years,0.0,6917.0
833,5-14 years,0.0,7529.0
834,55-74 years,0.0,3662.0
835,75+ years,0.0,1386.0
836,15-24 years,0.0,6069.0
837,25-34 years,1.0,6668.0
838,35-54 years,0.0,6915.0
839,5-14 years,0.0,7298.0
840,55-74 years,0.0,2879.0
841,75+ years,0.0,896.0
842,15-24 years,0.0,6083.0
843,25-34 years,0.0,7151.0
844,35-54 years,0.0,7357.0
845,5-14 years,0.0,7722.0
846,55-74 years,0.0,3715.0
847,75+ years,0.0,1437.0
848,15-24 years,0.0,5976.0
849,25-34 years,0.0,6886.0
850,35-54 years,0.0,7359.0
851,5-14 years,0.0,7494.0
852,55-74 years,0.0,2935.0
853,75+ years,0.0,929.0
854,15-24 years,0.0,6099.0
855,25-34 years,0.0,7333.0
856,35-54 years,0.0,7851.0
857,5-14 years,0.0,7885.0
858,55-74 years,0.0,3808.0
859,75+ years,0.0,1488.0
860,15-24 years,0.0,5953.0
861,25-34 years,0.0,7023.0
862,35-54 years,0.0,7809.0
863,5-14 years,0.0,7632.0
864,55-74 years,0.0,3021.0
865,75+ years,0.0,944.0
866,15-24 years,0.0,6529.0
867,25-34 years,0.0,8332.0
868,35-54 years,0.0,9615.0
869,5-14 years,0.0,8183.0
870,55-74 years,0.0,3921.0
871,75+ years,0.0,1476.0
872,15-24 years,0.0,5916.0
873,25-34 years,0.0,7294.0
874,35-54 years,0.0,9086.0
875,5-14 years,0.0,7706.0
876,55-74 years,0.0,3213.0
877,75+ years,0.0,954.0
878,15-24 years,0.0,6589.0
879,25-34 years,0.0,8526.0
880,35-54 years,0.0,10311.0
881,5-14 years,0.0,8314.0
882,55-74 years,0.0,3968.0
883,75+ years,0.0,1451.0
884,15-24 years,0.0,5845.0
885,25-34 years,0.0,7263.0
886,35-54 years,0.0,9537.0
887,5-14 years,0.0,7805.0
888,55-74 years,0.0,3276.0
889,75+ years,0.0,947.0
890,15-24 years,0.0,6616.0
891,25-34 years,0.0,8595.0
892,35-54 years,0.0,11040.0
893,5-14 years,0.0,8439.0
894,55-74 years,0.0,3986.0
895,75+ years,0.0,1413.0
896,15-24 years,0.0,5783.0
897,25-34 years,0.0,7177.0
898,35-54 years,1.0,10033.0
899,5-14 years,0.0,7973.0
900,55-74 years,1.0,3333.0
901,75+ years,0.0,938.0
902,15-24 years,0.0,6902.0
903,25-34 years,0.0,8425.0
904,35-54 years,0.0,11402.0
905,5-14 years,0.0,8428.0
906,55-74 years,0.0,4037.0
907,75+ years,0.0,1487.0
908,15-24 years,0.0,6084.0
909,25-34 years,0.0,7071.0
910,35-54 years,2.0,10281.0
911,5-14 years,0.0,7958.0
912,55-74 years,0.0,3442.0
913,75+ years,0.0,980.0
914,15-24 years,0.0,7196.0
915,25-34 years,0.0,8155.0
916,35-54 years,0.0,11760.0
917,5-14 years,0.0,8408.0
918,55-74 years,0.0,4050.0
919,75+ years,0.0,1547.0
920,15-24 years,0.0,6416.0
921,25-34 years,0.0,6921.0
922,35-54 years,0.0,10604.0
923,5-14 years,0.0,7980.0
924,55-74 years,0.0,3527.0
925,75+ years,0.0,1024.0
926,15-24 years,0.0,7454.0
927,25-34 years,0.0,7831.0
928,35-54 years,0.0,12129.0
929,5-14 years,0.0,8423.0
930,55-74 years,0.0,4054.0
931,75+ years,0.0,1583.0
932,15-24 years,0.0,6730.0
933,25-34 years,0.0,6734.0
