id,age,suicides_no,population
21876,75+ years,0.0,2600.0
21877,15-24 years,0.0,119900.0
21878,25-34 years,0.0,109400.0
21879,35-54 years,1.0,97100.0
21880,5-14 years,0.0,183000.0
21881,55-74 years,0.0,20800.0
21882,75+ years,0.0,3300.0
21883,15-24 years,1.0,160400.0
21884,25-34 years,0.0,194700.0
21885,35-54 years,0.0,206800.0
21886,5-14 years,0.0,195400.0
21887,55-74 years,0.0,29500.0
21888,75+ years,0.0,3000.0
21889,15-24 years,0.0,132500.0
21890,25-34 years,0.0,123700.0
21891,35-54 years,1.0,110800.0
21892,5-14 years,0.0,173200.0
21893,55-74 years,0.0,20500.0
21894,75+ years,0.0,3000.0
21895,15-24 years,0.0,138500.0
21896,25-34 years,3.0,208400.0
21897,35-54 years,3.0,215300.0
21898,5-14 years,0.0,180700.0
21899,55-74 years,0.0,32300.0
21900,75+ years,0.0,2800.0
21901,15-24 years,1.0,132600.0
21902,25-34 years,3.0,122000.0
21903,35-54 years,0.0,108200.0
21904,5-14 years,1.0,202600.0
21905,55-74 years,0.0,23000.0
21906,75+ years,0.0,3500.0
21907,15-24 years,1.0,186100.0
21908,25-34 years,4.0,230900.0
21909,35-54 years,4.0,244600.0
21910,5-14 years,0.0,223700.0
21911,55-74 years,0.0,33700.0
21912,75+ years,0.0,3300.0
21913,15-24 years,0.0,145200.0
21914,25-34 years,2.0,136200.0
21915,35-54 years,1.0,121900.0
21916,5-14 years,0.0,189600.0
21917,55-74 years,0.0,22400.0
21918,75+ years,0.0,3400.0
21919,15-24 years,2.0,150900.0
21920,25-34 years,5.0,228000.0
21921,35-54 years,6.0,235600.0
21922,5-14 years,0.0,196600.0
21923,55-74 years,1.0,35200.0
21924,75+ years,0.0,3000.0
21925,15-24 years,0.0,152100.0
21926,25-34 years,3.0,143000.0
21927,35-54 years,1.0,127800.0
21928,5-14 years,0.0,198400.0
21929,55-74 years,0.0,23400.0
21930,75+ years,0.0,3400.0
21931,15-24 years,4.0,157400.0
21932,25-34 years,5.0,238400.0
21933,35-54 years,3.0,246500.0
21934,5-14 years,0.0,205000.0
21935,55-74 years,0.0,36700.0
21936,75+ years,0.0,3200.0
21937,15-24 years,1.0,159300.0
21938,25-34 years,1.0,150100.0
21939,35-54 years,2.0,134100.0
21940,5-14 years,0.0,207600.0
21941,55-74 years,1.0,24300.0
21942,75+ years,0.0,3700.0
21943,15-24 years,1.0,164300.0
21944,25-34 years,6.0,249500.0
21945,35-54 years,4.0,257900.0
21946,5-14 years,0.0,213800.0
21947,55-74 years,0.0,38400.0
21948,75+ years,0.0,3300.0
21949,15-24 years,0.0,112300.0
21950,25-34 years,4.0,130800.0
21951,35-54 years,2.0,123800.0
21952,5-14 years,0.0,144300.0
21953,55-74 years,0.0,23500.0
21954,75+ years,0.0,2800.0
21955,15-24 years,1.0,119600.0
21956,25-34 years,6.0,207800.0
21957,35-54 years,4.0,227100.0
21958,5-14 years,0.0,143300.0
21959,55-74 years,1.0,35200.0
21960,75+ years,0.0,3100.0
21961,15-24 years,0.0,111900.0
21962,25-34 years,7.0,132800.0
21963,35-54 years,5.0,123000.0
21964,5-14 years,0.0,149200.0
